CLID1,AVG,STD,CV
3009,39.71,3.96,0.099722992
3010,36.39,4.81,0.13217917
3101,54.82,8.25,0.150492521
3102,53.18,7.81,0.146859722
3103,46.56,6.08,0.130584192
3104,46.2,5.78,0.125108225
3105,47.78,5.8,0.121389703
3106,52.38,5.51,0.105192822
3107,51.6,6.04,0.117054264
3108,49.45,6.29,0.127199191
3201,16.3,3.23,0.198159509
3202,17.81,3.62,0.203256597
3203,18.99,3.2,0.168509742
3204,16.62,3.19,0.191937425
3205,18.34,3.63,0.197928026
3206,20.58,3.84,0.186588921
3207,15.83,3.4,0.214782059
3208,16.93,3.73,0.22031896
3209,20.38,4.43,0.217369971
3301,35.18,4.62,0.131324616
3302,36.27,4.59,0.126550868
3303,39.81,4.61,0.11580005
3304,37.86,5.63,0.148705758
3305,38.68,5.41,0.139865564
3306,39.71,5.45,0.137245026
3307,39.76,5.35,0.134557344
3308,42.25,6.36,0.150532544
3309,41.01,5.77,0.140697391
3310,40.86,5.45,0.133382281
3401,21,2.82,0.134285714
3402,31.96,5.51,0.172403004
3403,42.84,7.02,0.163865546
3404,29.17,5.22,0.178950977
3405,37.31,5.86,0.15706245
3406,46.14,8.61,0.186605982
3407,30.75,5.63,0.183089431
3408,39.66,7.18,0.18103883
3409,50.76,9.17,0.180654058
3501,75.47,14.97,0.198356963
3502,52.77,9.55,0.180974038
3503,38.04,8.7,0.228706625
3504,74.25,14.35,0.193265993
3505,24.38,5.47,0.224364233
3506,15.59,3.01,0.193072482
3507,12.32,2.73,0.221590909
3508,17.88,3.17,0.177293065
3509,10.79,2.72,0.252085264
3601,45.55,6.27,0.137650933
3602,47.07,7.12,0.151264075
3603,45.35,6.75,0.148842337
3604,42.4,7.28,0.171698113
3605,42.18,6.76,0.160265529
3606,38.75,5.52,0.142451613
3607,41.16,5.66,0.137512148
3608,41.92,5.53,0.131917939
3609,42.87,4.46,0.104035456
3610,44.29,5.11,0.115375931
3701,47.98,6.74,0.140475198
3801,70.24,13.24,0.188496583
3802,51.75,7.65,0.147826087
3803,47.03,5.9,0.125451839
3804,49.55,5.98,0.120686176
3805,48.36,5.82,0.120347395
3806,48.09,6.48,0.134747349
3807,50.42,6.42,0.127330424
3901,16.95,3.67,0.216519174
3902,18.26,3.3,0.180722892
3903,21.29,4.92,0.231094411
3904,22.51,4.25,0.188804976
3905,17.89,3.75,0.20961431
3906,18.98,4.17,0.219704953
3907,22.86,4.59,0.200787402
3908,21.75,4.54,0.208735632
3909,24.32,5.17,0.212582237
4001,51.13,7.24,0.141599844
4002,57.05,8.09,0.141805434
4003,55.34,8.37,0.151246838
4004,54,7.86,0.145555556
4101,19.64,2.74,0.139511202
4102,24.51,4.18,0.170542636
4103,35.23,6.04,0.171444791
4104,48.08,8.22,0.170965058
4105,13.19,3.53,0.26762699
4106,24.73,4.68,0.189243833
4107,36.21,7.96,0.219828777
4108,50.31,10.13,0.20135162
4109,24.08,5.87,0.243770764
4110,25.43,5.11,0.200943767
4201,9.18,2.06,0.224400871
4202,12.87,3.8,0.295260295
4203,18.16,4.47,0.246145374
4204,13.36,2.76,0.206586826
4205,20.12,4.51,0.22415507
4206,8.49,1.94,0.228504122
4207,9.83,2,0.2034588
4301,44.18,5.75,0.130149389
4302,38.99,4.93,0.126442678
4303,46.35,5.81,0.125350593
4401,45.63,6.65,0.145737453
4402,45,6.56,0.145777778
4403,46.61,6.98,0.149753272
4404,42.44,6.73,0.158576814
4405,40.64,6.08,0.149606299
4406,44.29,5.65,0.1275683
4501,97.77,16.87,0.172547816
4502,25.16,4.34,0.172496025
4503,42.7,6.52,0.152693208
4504,64.79,10.34,0.15959253
4505,92.75,16.36,0.17638814
4506,28.83,6.29,0.218175512
4507,12.63,2.81,0.222486144
4508,10.15,2.32,0.228571429
4509,21.03,3.36,0.159771755
4510,18.16,3.02,0.166299559
4601,41.95,5.53,0.1318236
4602,46.89,5.8,0.123693751
4603,44.66,5.56,0.124496193
4604,50.1,5.73,0.114371257
4605,41.41,4.86,0.117362956
4606,37.14,5.99,0.161281637
4701,32.04,5.16,0.161048689
4702,32.44,4.85,0.149506782
4703,31.47,4.29,0.136320305
4704,33.34,4.66,0.139772046
4705,32.68,4,0.122399021
4706,31.01,3.78,0.121896163
4707,33.92,5.02,0.147995283
4708,34.11,4.36,0.127821753
4709,33.93,3.9,0.114942529
4801,14.54,2.06,0.141678129
4802,22.77,4.13,0.181379007
4803,9.93,2.36,0.237663646
4804,10.52,1.77,0.168250951
4805,14.71,2.36,0.160435078
4806,16.97,3.15,0.185621685
4807,14.93,2.95,0.197588747
4808,14.95,2.61,0.17458194
4809,9.71,2.21,0.227600412
4810,11.98,1.98,0.165275459
5001,91.77,12.87,0.140241909
5002,94.49,14.84,0.157053656
5003,41.73,5.5,0.131799665
5004,14.45,2.15,0.148788927
5005,24.81,3.97,0.160016123
5006,23.84,3.55,0.148909396
5007,16.13,3.54,0.219466832
5008,12.72,1.49,0.117138365
5009,7.57,1.91,0.252311757
5101,60.68,15.8,0.260382334
5102,64.14,12.92,0.201434362
5103,37.91,11.58,0.305460301
5104,24.07,10.79,0.448275862
5105,60.98,15.2,0.249262053
5106,68.08,14.94,0.219447709
6601,58.11,11.51,0.198072621
6602,34.8,8.8,0.252873563
6603,61.9,9.95,0.160743134
6604,59.27,9.6,0.161970643
6605,83.24,14.2,0.170591062
6606,76.03,12.73,0.167433908
6704,42.89,10.38,0.242014456
9102,93.61,14.3,0.152761457
9103,84.55,16.02,0.189473684
9104,137.98,15.89,0.115161618
